User ID,Introduction,Placement,Pin Entry,Authentication,Lab Selection,Lab Initiation,module0,module1,module2,module3,module4,module5,module6,module7,Submit
88,0.0,8.68,11.820001,17.36,17.36,21.310001,30.580002,40.56,49.52,56.11,63.56,72.130005,83.950005,93.340004,97.5
102,0.0,8.68,42.54,88.479996,88.479996,104.649994,111.13,960.0,1359.21,1744.9199,1810.4999,2060.7598,2466.2097,2562.5598,2650.48
103,0.0,8.68,41.22,57.96,57.96,60.59,75.44,92.47,103.880005,256.25,589.18,925.06,1142.06,1278.1101,1325.46
105,0.0,8.68,47.78,66.58,66.58,71.91,78.43,555.65,1119.96,1496.19,1733.35,1925.1799,2118.3298,2236.18,2286.13
108,0.0,8.68,75.77,110.56999,110.56999,115.98999,122.77999,1164.55,1839.5701,2414.1501,2945.9602,3467.4402,3664.7502,3790.2102,3843.54
110,0.0,8.68,44.71,61.67,61.67,74.02,83.03,581.85,951.38,1318.54,1606.0801,1868.3501,2056.36,2143.8801,2192.95
111,0.0,8.67,39.48,50.3,50.3,59.8,66.36,92.630005,192.88,534.89,917.77,1236.3401,1740.4001,1871.3401,3444.1
112,0.0,8.68,37.17,92.759995,92.759995,125.87999,133.13998,450.37,837.83997,908.3,1367.55,1839.53,2267.55,2512.98,3697.91
113,0.0,8.68,75.62,98.68,98.68,125.59,132.28,802.61,1503.33,2346.83,2762.1301,3078.12,3471.5103,3588.9602,3910.19
115,0.0,8.68,48.74,90.72,90.72,118.91,126.9,801.71,1309.8201,1624.7201,1873.9701,2230.31,2490.87,2607.01,2665.84
116,0.0,8.69,44.62,57.78,57.78,65.89,72.96,580.93,981.33997,1518.85,1804.08,2162.3198,2434.2598,2545.1199,2637.84
117,0.0,8.68,9.42,64.3,64.3,69.78001,76.8,860.38,1504.05,1738.81,2453.56,2814.9502,3266.3003,3518.9702,3596.85
118,0.0,8.68,42.73,69.41,69.41,79.78001,86.19,697.46,1340.3601,1728.81,2037.8401,2380.1301,2756.1301,2818.0002,2882.34
119,0.0,8.67,40.870003,159.92001,159.92001,168.11002,175.27002,795.59,1340.3401,1703.9601,2015.8301,2336.24,2634.69,2831.72,2951.05
122,0.0,8.68,46.510002,80.98,80.98,85.350006,91.880005,1404.14,1472.17,1769.04,2119.49,2574.76,3061.54,3249.75,4475.52
123,0.0,8.68,39.91,63.28,63.28,71.36,83.94,613.67,1109.77,1755.02,2098.97,2388.63,2788.6199,2903.7798,2964.05
124,0.0,8.69,49.62,87.28,87.28,93.83,102.68,340.65,779.77,1033.49,1307.72,1535.2999,1928.0299,2029.97,2454.73
125,0.0,8.68,44.36,57.99,57.99,66.47,74.75,597.2,1146.63,1411.22,1635.59,1885.27,2229.62,2359.36,2611.01
126,0.0,8.69,53.5,76.47,76.47,82.520004,89.54,1002.75,2520.8398,2950.1997,3505.3198,3988.8398,4743.6997,4751.9697,4825.44
127,0.0,8.69,44.359997,70.34,70.34,80.53999,88.939995,837.18,997.22,1472.4299,1774.71,2313.5698,2552.63,2641.64,2970.34
128,0.0,8.67,63.559998,90.14,90.14,102.64,109.32,601.21,1100.02,1140.4501,1454.4001,1760.5101,2058.7302,2180.7302,2579.58
129,0.0,8.68,48.73,68.72,68.72,79.56,86.02,1078.16,1954.1201,2208.1902,2522.5002,2893.9202,3158.04,3285.56,3386.08
130,0.0,8.68,51.39,77.31,77.31,92.08,98.5,758.7,1084.14,1396.0801,1645.53,2001.36,2178.8,2296.1602,2348.68
141,0.0,8.68,49.19,59.559998,59.559998,69.689995,78.67,676.62,880.16,1329.3099,1553.07,1881.8799,2111.99,2254.76,2309.11
143,0.0,8.68,43.63,136.62,136.62,144.08,153.82,724.24,1129.37,1277.38,1680.22,2056.27,2411.13,2628.15,2964.93
145,0.0,8.67,46.0,60.95,60.95,68.71,78.35,925.94,1486.1599,1857.71,1935.34,2218.8,2564.31,2689.8901,2699.47
148,0.0,8.69,38.73,53.89,53.89,56.95,66.16,827.58997,1063.7899,1564.5199,1978.3398,2186.91,2449.13,2571.5,2591.77
150,0.0,8.69,42.27,61.760002,61.760002,67.67,77.09,508.62,693.92,1109.19,1413.44,1716.69,1955.0399,1981.8699,2039.69
151,0.0,8.67,44.300003,65.36,65.36,70.54,79.65,914.77,1612.29,2009.5801,2019.8401,2274.86,2675.1501,2718.4802,2988.82
152,0.0,8.68,91.73,122.990005,122.990005,130.18001,139.49,917.89,1429.6,1861.8999,2247.75,2595.3901,2886.3901,3096.5002,3305.71
154,0.0,8.68,39.88,77.350006,77.350006,82.420006,91.78001,587.85004,1081.54,1468.99,2302.3,2564.79,3077.99,3339.49,3401.4
157,0.0,8.68,42.19,78.08,78.08,88.61,97.58,392.94,837.36,1224.85,1578.49,1967.6799,2318.0,2477.92,2841.85
159,0.0,8.69,52.57,78.28,78.28,84.44,94.07,822.86,1072.66,1480.6901,1899.66,2414.07,2880.96,3171.13,3251.31
163,0.0,8.68,37.17,63.719997,63.719997,67.72,77.270004,622.46,987.18005,1184.77,1805.3401,1926.2201,2118.4202,2251.85,2881.12
168,0.0,8.68,196.18,206.40999,206.40999,210.15,219.34,797.93005,1604.0701,1755.03,2087.18,2446.0798,2614.2898,3195.4897,3200.86
170,0.0,8.68,67.21,98.619995,98.619995,111.17,120.25,704.06,1356.94,1517.95,1885.35,2195.3699,2425.22,2531.82,2628.08
172,0.0,8.67,47.870003,69.91,69.91,76.75,85.79,579.58,1297.3401,1689.3501,2041.3401,2375.35,2608.4001,2654.55,2711.52
174,0.0,8.67,82.049995,126.829994,126.829994,143.04,152.15999,1236.7001,1560.18,1830.3201,2455.4502,2646.9602,2969.5403,3107.3203,3146.78
175,0.0,8.68,49.62,70.28,70.28,93.259995,102.49999,1084.34,1360.6399,1669.9299,2027.2599,2486.5598,2910.4597,3051.4097,3466.61
